,Стоимость,Тип продажи,Объект продажи,Общая площадь,Жилая площадь,Площадь кухни,Этаж,Этажей в доме,Лифт пассажирский (кол-во),Лифт грузовой (кол-во),Мусоропровод,Парковка,Количество комнат,Тип дома,Высота потолков,Кол-во раздельных санузлов,Вид из окон,Расстояние до метро,Округ,Район
34918,6629755,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,80.9,46.5,13.3,6,25,1.0,1.0,Нет,Неизвестно,3.0,Монолитный,,,,3 мин. на транспорте,Ленинский городской округ,пос. Битца
19657,4500000,,Новостройка,40.3,18.3,9.2,13,20,1.0,1.0,Нет,подземная,1.0,Монолитный,,,,3 мин. на транспорте,ЮАО,район Бирюлево Восточное
8879,9294060,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,68.1,31.8,18.5,10,16,1.0,1.0,Нет,подземная,2.0,Монолитный,2.89,1.0,Во двор,3 мин. на транспорте,НАО (Новомосковский),Сосенское поселение
24851,19225860,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,87.38,,11.4,7,19,1.0,1.0,Нет,подземная,3.0,Монолитный,3.25,,,9 мин. пешком,СВАО,район Алексеевский
16079,10848040,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,74.2,43.3,11.9,20,22,1.0,0.0,Нет,подземная,3.0,Монолитный,,,,12 мин. на транспорте,СВАО,район Ярославский
34778,16345645,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,70.9,32.6,16.2,16,18,1.0,0.0,Нет,подземная,2.0,Монолитный,,1.0,,2 мин. на транспорте,ЗАО,район Можайский
11135,11186320,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,53.6,23.2,15.4,24,30,2.0,1.0,Нет,подземная,2.0,Монолитный,,0.0,Во двор,5 мин. пешком,ЮВАО,район Южнопортовый
23638,9307440,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,41.7,13.8,11.0,17,21,1.0,1.0,Нет,подземная,1.0,Монолитный,3.0,0.0,,12 мин. пешком,СЗАО,район Хорошево-Мневники
1290,6143040,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,71.1,31.5,21.1,2,9,1.0,1.0,Нет,Неизвестно,2.0,Монолитный,2.65,0.0,На улицу,17 мин. на транспорте,Красногорск городской округ,пос. Ильинское-Усово
4692,16717852,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,92.36,47.9,14.3,2,22,1.0,0.0,Нет,подземная,3.0,Монолитный,,1.0,На улицу и двор,7 мин. пешком,СЗАО,район Покровское-Стрешнево
7411,3798220,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,35.9,10.1,17.0,20,25,2.0,2.0,Нет,Неизвестно,1.0,Панельный,2.65,0.0,Во двор,7 мин. на транспорте,Ленинский городской округ,Боброво рп
4855,6769630,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,67.9,30.5,20.3,11,13,1.0,1.0,Нет,Неизвестно,2.0,Панельный,2.9,0.0,На улицу,7 мин. на транспорте,Мытищи,микрорайон Ярославский
3662,6744992,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,53.0,29.6,11.0,12,18,1.0,1.0,Нет,Неизвестно,2.0,Панельный,2.65,2.0,На улицу,3 мин. на транспорте,НАО (Новомосковский),пос. Коммунарка
2916,5679300,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,68.67,36.5,18.3,2,4,0.0,0.0,Нет,Неизвестно,2.0,Кирпичный,,1.0,,,Наро-Фоминский городской округ,Апрелевка
5253,9736480,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,60.4,31.5,11.0,9,22,1.0,0.0,Нет,подземная,2.0,Монолитный,,1.0,,2 мин. на транспорте,ЮВАО,район Марьино
287,8164800,"Свободная продажа, Возможна ипотека",Новостройка,100.8,57.8,13.8,5,17,1.0,1.0,Нет,подземная,3.0,Монолитный,,1.0,Во двор,22 мин. на транспорте,Котельники,южный мкр
28656,13500000,", Возможна ипотека",Новостройка,46.0,,15.0,16,18,2.0,3.0,Нет,подземная,1.0,Монолитный,,,На улицу и двор,5 мин. пешком,ЦАО,район Красносельский
12649,10978830,"Свободная продажа, Возможна ипотека",Новостройка,61.3,26.7,17.8,18,20,1.0,1.0,Нет,подземная,2.0,Монолитный,,0.0,Во двор,2 мин. на транспорте,ЮАО,район Орехово-Борисово Южное
30249,2900000,", Возможна ипотека",Новостройка,40.0,16.0,10.0,5,12,1.0,1.0,Нет,Наземная,1.0,Монолитный,,0.0,На улицу,34 мин. на транспорте,Лосино-Петровский городской округ,пос. Аничково
31600,19830822,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,112.09,44.0,25.7,8,22,1.0,0.0,Нет,подземная,3.0,Монолитный,,0.0,На улицу и двор,7 мин. пешком,СЗАО,район Покровское-Стрешнево
6863,7487606,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,61.9,30.1,14.4,4,16,1.0,1.0,Нет,подземная,2.0,Монолитный,2.85,1.0,Во двор,26 мин. на транспорте,НАО (Новомосковский),Сосенское поселение
37120,3100000,", Возможна ипотека",Новостройка,43.69,,9.6,12,14,1.0,1.0,Нет,Наземная,1.0,Монолитный,,0.0,На улицу,,Воскресенск,Новлянский мкр
34119,6210300,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,76.2,44.7,12.4,3,25,2.0,1.0,Нет,подземная,3.0,Монолитный,,1.0,,6 мин. на транспорте,Котельники городской округ,Новые Котельники ЖК
13139,12364652,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,65.98,32.5,,9,12,1.0,1.0,Нет,подземная,2.0,Монолитный,2.75,1.0,,13 мин. пешком,ЮВАО,район Нижегородский
7752,8466250,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,52.1,24.0,13.8,12,30,2.0,1.0,Нет,Неизвестно,2.0,Монолитный,2.7,2.0,На улицу,,ЮВАО,район Рязанский
23048,4791420,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,46.7,26.2,9.9,21,25,1.0,0.0,Нет,подземная,2.0,Монолитный,2.8,,,13 мин. на транспорте,Одинцово,улица Чистяковой
6837,9068189,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,65.4,30.0,19.1,2,9,1.0,1.0,Нет,подземная,2.0,Монолитный,2.85,1.0,Во двор,6 мин. на транспорте,НАО (Новомосковский),Сосенское поселение
17495,11167369,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,87.8,54.0,14.9,21,23,1.0,1.0,Нет,подземная,3.0,Монолитный,,1.0,,5 мин. пешком,НАО (Новомосковский),Внуковское поселение
2165,19740880,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,101.6,45.0,26.9,2,26,1.0,2.0,Нет,Неизвестно,3.0,Монолитный,2.8,0.0,На улицу и двор,10 мин. пешком,ЗАО,район Кунцево
13078,22434544,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,79.7,43.5,14.6,5,51,2.0,2.0,Нет,Неизвестно,3.0,Монолитный,3.0,0.0,На улицу и двор,14 мин. пешком,ЗАО,район Раменки
26347,5827200,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,48.0,24.4,10.9,9,9,1.0,1.0,Нет,подземная,2.0,Монолитный,2.8,,,3 мин. на транспорте,Ленинский городской округ,Поляна СНТ
37171,4141774,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,57.8,30.1,14.2,6,17,1.0,0.0,Нет,Наземная,2.0,Монолитный,,,,18 мин. на транспорте,Химки,микрорайон Сходня
21441,4533900,"Свободная продажа, Возможна ипотека",Новостройка,68.6,25.0,25.6,4,8,1.0,0.0,Нет,Неизвестно,2.0,Монолитный,,1.0,,,Одинцовский городской округ,Звенигород
11670,8370015,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,41.5,18.8,14.0,19,24,1.0,2.0,Нет,Неизвестно,1.0,Монолитный,2.7,0.0,Во двор,7 мин. пешком,САО,район Головинский
33908,25775621,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,87.8,38.1,23.5,10,21,1.0,1.0,Нет,подземная,3.0,Монолитный,,2.0,На улицу,7 мин. пешком,САО,район Беговой
4799,6937009,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,58.6,31.6,12.1,28,32,2.0,1.0,Нет,подземная,2.0,Монолитный,,1.0,,3 мин. на транспорте,Одинцовский городской округ,д. Раздоры
5680,13760000,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,107.4,55.7,19.8,15,30,2.0,2.0,Нет,Неизвестно,4.0,Монолитный,2.8,0.0,На улицу и двор,3 мин. пешком,Котельники,улица Сосновая
9453,9792063,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,56.9,,10.0,32,39,1.0,1.0,Нет,подземная,2.0,Монолитный,2.95,0.0,Во двор,2 мин. на транспорте,ВАО,район Гольяново
1569,9311430,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,63.3,26.5,21.6,1,33,2.0,2.0,Нет,Неизвестно,2.0,Монолитный,2.72,2.0,Во двор,2 мин. на транспорте,ЮВАО,район Рязанский
19369,3000000,Свободная продажа,Новостройка,41.7,18.0,11.0,7,22,,,Нет,,1.0,Монолитный,,,Во двор,,Раменское,район Залинейный
20470,6910707,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,55.4,31.5,11.3,7,18,1.0,1.0,Нет,Неизвестно,2.0,Панельный,2.65,2.0,На улицу,3 мин. на транспорте,НАО (Новомосковский),пос. Коммунарка
26199,5010510,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,63.67,35.0,11.0,7,24,1.0,0.0,Нет,Наземная,3.0,Монолитный,,1.0,,23 мин. на транспорте,Одинцово,Западная улица
5682,8176440,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,73.2,43.7,12.4,22,25,1.0,2.0,Нет,Неизвестно,3.0,Панельный,2.9,2.0,На улицу и двор,7 мин. на транспорте,Мытищи,микрорайон Ярославский
29170,5015124,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,38.0,15.6,,7,7,1.0,1.0,Нет,Неизвестно,1.0,Монолитный,,0.0,,21 мин. на транспорте,НАО (Новомосковский),Марушкинское поселение
14645,5832360,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,61.2,25.1,20.3,2,13,1.0,1.0,Нет,Неизвестно,2.0,Панельный,2.9,2.0,На улицу,7 мин. на транспорте,Мытищи,микрорайон Ярославский
