,Стоимость,Тип продажи,Объект продажи,Общая площадь,Жилая площадь,Площадь кухни,Этаж,Этажей в доме,Лифт пассажирский (кол-во),Лифт грузовой (кол-во),Мусоропровод,Парковка,Количество комнат,Тип дома,Высота потолков,Кол-во раздельных санузлов,Вид из окон,Расстояние до метро,Округ,Район
23071,20535600,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,94.2,56.0,16.1,3,24,1.0,0.0,Нет,подземная,3.0,Монолитный,,,,3 мин. на транспорте,СЗАО,район Щукино
29811,22458380,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,84.43,51.1,6.0,3,32,1.0,0.0,Нет,подземная,3.0,Монолитный,3.0,1.0,,7 мин. пешком,ЦАО,район Пресненский
18578,19643120,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,100.22,60.3,13.1,10,25,1.0,0.0,Нет,подземная,4.0,Монолитный,,,,3 мин. на транспорте,СЗАО,район Щукино
25799,8756284,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,42.0,16.9,11.6,21,22,1.0,2.0,Нет,Неизвестно,1.0,Монолитный,2.0,0.0,Во двор,2 мин. на транспорте,САО,район Дмитровский
17183,6708000,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,64.5,27.0,22.3,3,33,2.0,2.0,Нет,Неизвестно,2.0,Монолитный,2.8,2.0,На улицу,3 мин. пешком,Котельники,Опытное поле мкр
15034,12554500,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,98.6,66.5,13.1,10,22,1.0,0.0,Нет,подземная,4.0,Монолитный,,0.0,,6 мин. на транспорте,НАО (Новомосковский),Родниковая улица
27599,24019500,"Свободная продажа, Возможна ипотека",Новостройка,71.7,30.9,20.0,23,24,1.0,1.0,Нет,подземная,2.0,Монолитный,4.0,1.0,Во двор,5 мин. пешком,САО,район Хорошевский
19116,13249157,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,72.8,39.1,13.0,19,23,2.0,1.0,Нет,подземная,3.0,Монолитный,3.0,1.0,,8 мин. пешком,ЮВАО,район Рязанский
8723,8427080,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,92.2,42.5,22.5,24,25,1.0,2.0,Нет,Неизвестно,3.0,Панельный,2.65,0.0,На улицу и двор,2 мин. на транспорте,Котельники,Белая Дача мкр
37156,6330500,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,55.0,23.2,16.5,18,25,1.0,0.0,Нет,Неизвестно,2.0,Монолитный,,1.0,,4 мин. на транспорте,Красногорск городской округ,д. Путилково
28050,21436360,"Свободная продажа, Возможна ипотека",Новостройка,86.0,34.1,12.8,4,19,1.0,1.0,Нет,подземная,2.0,Монолитный,,1.0,На улицу и двор,7 мин. пешком,САО,район Беговой
16304,6086220,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,60.2,23.2,21.9,14,15,1.0,1.0,Нет,Неизвестно,2.0,Монолитный,2.75,2.0,На улицу,20 мин. на транспорте,Одинцово,Одинцово
3555,9237460,"Свободная продажа, Возможна ипотека",Новостройка,53.8,16.2,23.8,12,17,1.0,4.0,Нет,Неизвестно,1.0,Монолитный,,0.0,,10 мин. пешком,СВАО,район Северное Медведково
37082,25117500,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,98.5,52.0,16.8,8,41,1.0,2.0,Нет,Неизвестно,3.0,Монолитный,,1.0,На улицу,6 мин. пешком,ЗАО,район Филевский парк
28118,28300580,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,103.4,44.3,29.5,6,14,2.0,2.0,Нет,подземная,3.0,Монолитный,3.23,1.0,Во двор,15 мин. пешком,ЗАО,район Раменки
9144,10200000,", Возможна ипотека",Новостройка,73.0,47.1,9.5,17,24,1.0,0.0,Нет,,3.0,Монолитно-кирпичный,,1.0,,24 мин. пешком,ЮВАО,район Марьино
25229,5205100,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,53.0,25.0,13.7,7,8,1.0,0.0,Нет,Неизвестно,2.0,Монолитный,,1.0,,8 мин. на транспорте,Ленинский городской округ,пос. Совхоза имени Ленина
6827,9213976,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,65.4,30.0,19.1,2,9,1.0,1.0,Нет,подземная,2.0,Монолитный,2.85,1.0,Во двор,6 мин. на транспорте,НАО (Новомосковский),Сосенское поселение
16671,21817380,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,81.0,,,12,12,1.0,1.0,Нет,подземная,3.0,Монолитный,3.2,,,5 мин. на транспорте,ЮВАО,район Лефортово
35890,3320965,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,37.77,23.7,3.5,8,24,1.0,0.0,Нет,Наземная,2.0,Монолитный,,0.0,,23 мин. на транспорте,Одинцово,Западная улица
12579,3150000,"Свободная продажа, Возможна ипотека",Новостройка,47.7,18.7,13.0,6,17,2.0,1.0,Нет,,1.0,Монолитный,,1.0,Во двор,,Щелково,микрорайон Щелково-3
16323,5902400,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,54.4,20.8,20.0,1,15,1.0,1.0,Нет,Неизвестно,2.0,Панельный,2.75,2.0,На улицу,20 мин. на транспорте,Одинцово,Одинцово
5396,9082008,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,56.34,27.5,11.9,3,18,1.0,0.0,Нет,подземная,2.0,Монолитный,,1.0,,2 мин. на транспорте,ЮВАО,район Марьино
21086,6500000,", Возможна ипотека",Новостройка,57.7,34.4,12.5,2,17,1.0,,Нет,,2.0,Монолитно-кирпичный,2.7,1.0,На улицу и двор,10 мин. пешком,ЮВАО,район Некрасовка
18780,6266283,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,43.9,13.2,18.4,4,8,1.0,1.0,Нет,подземная,1.0,Монолитный,3.19,0.0,Во двор,3 мин. на транспорте,НАО (Новомосковский),пос. Коммунарка
23598,8368560,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,39.4,14.9,11.8,12,21,1.0,1.0,Нет,подземная,1.0,Монолитный,3.0,1.0,,12 мин. пешком,СЗАО,район Хорошево-Мневники
27330,14953700,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,65.3,,,7,13,2.0,1.0,Нет,Неизвестно,2.0,Монолитный,3.0,0.0,На улицу,13 мин. пешком,ЗАО,район Филевский парк
26200,2371952,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,23.88,9.8,5.3,19,24,1.0,0.0,Нет,Наземная,1.0,Монолитный,,0.0,,23 мин. на транспорте,Одинцово,Западная улица
9258,14378803,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,67.7,32.2,19.1,28,30,2.0,2.0,Нет,подземная,2.0,Монолитный,3.5,1.0,На улицу и двор,4 мин. пешком,ЮАО,район Зябликово
23086,7802780,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,42.2,15.2,16.0,12,23,2.0,2.0,Нет,Неизвестно,1.0,Монолитный,2.8,1.0,Во двор,8 мин. пешком,САО,район Западное Дегунино
4885,8274747,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,53.83,30.3,8.2,17,25,1.0,1.0,Нет,Неизвестно,2.0,Монолитный,2.7,1.0,На улицу,3 мин. на транспорте,СЗАО,район Митино
4334,25154553,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,83.9,,,33,51,3.0,2.0,Нет,подземная,3.0,Монолитный,3.0,,,14 мин. пешком,ЗАО,район Раменки
29159,9637920,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,43.2,18.1,15.8,43,48,1.0,0.0,Нет,подземная,1.0,Монолитный,,0.0,,3 мин. на транспорте,СЗАО,район Хорошево-Мневники
8579,4100000,", Возможна ипотека",Новостройка,60.7,34.3,11.9,15,17,2.0,1.0,Нет,,2.0,Монолитный,,1.0,Во двор,,Лобня,Лобня-Сити ЖК
139,8116800,"Свободная продажа, Возможна ипотека",Новостройка,71.2,38.4,9.5,22,24,2.0,2.0,Нет,подземная,2.0,Монолитный,3.0,1.0,,8 мин. на транспорте,Химки,микрорайон Старые Химки
22894,15294600,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,87.9,46.1,13.0,7,23,1.0,0.0,Нет,подземная,3.0,Монолитный,3.0,1.0,,4 мин. пешком,СВАО,район Бутырский
34219,4426730,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,55.76,30.0,13.7,14,18,1.0,1.0,Нет,Неизвестно,2.0,Монолитный,,1.0,,13 мин. на транспорте,Ленинский городской округ,д. Мисайлово
35641,4200000,", Возможна ипотека",Новостройка,55.6,34.0,,14,23,,,Нет,,2.0,Монолитный,,,,13 мин. на транспорте,Долгопрудный,микрорайон Гранитный
36186,21909074,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,68.49,34.8,,4,13,1.0,1.0,Нет,подземная,2.0,Монолитный,3.5,,,4 мин. пешком,ЗАО,район Раменки
34947,6475590,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,34.1,15.0,9.5,3,22,1.0,0.0,Нет,подземная,1.0,Монолитный,,,,12 мин. на транспорте,СВАО,район Ярославский
4450,5009000,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,61.18,31.4,18.4,4,4,0.0,0.0,Нет,Неизвестно,2.0,Кирпичный,,1.0,,,Наро-Фоминский городской округ,Апрелевка
34984,5689650,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,45.7,,,6,14,1.0,0.0,Нет,,2.0,Монолитный,,,,6 мин. на транспорте,ЗАО,район Можайский
1021,8001000,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,95.25,60.0,13.8,2,17,1.0,1.0,Нет,подземная,3.0,Монолитный,,1.0,,5 мин. на транспорте,Котельники,южный мкр
7131,4800000,", Возможна ипотека",Новостройка,50.6,27.6,9.7,11,16,1.0,1.0,Нет,,2.0,Монолитный,,1.0,,56 мин. пешком,Мытищи городской округ,д. Бородино
4456,8461081,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,65.9,31.7,17.5,4,12,1.0,1.0,Нет,Наземная,2.0,Монолитный,,1.0,,1 мин. на транспорте,НАО (Новомосковский),Внуковское поселение
10974,8135519,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,65.7,33.7,12.1,13,16,1.0,1.0,Нет,подземная,2.0,Монолитный,2.89,1.0,Во двор,3 мин. на транспорте,НАО (Новомосковский),пос. Коммунарка
2723,6586310,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,73.1,31.1,21.4,14,15,1.0,1.0,Нет,Неизвестно,2.0,Панельный,2.66,0.0,На улицу,6 мин. на транспорте,Балашиха,улица Реутовская
33707,4714065,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,33.5,16.9,,10,21,1.0,0.0,Нет,Неизвестно,,Монолитный,,0.0,,3 мин. на транспорте,ЗАО,район Тропарево-Никулино
2138,9634240,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,73.6,42.0,13.0,8,17,1.0,2.0,Нет,Неизвестно,3.0,Монолитный,2.66,2.0,На улицу и двор,28 мин. на транспорте,ЗелАО,район Крюково
32696,11200000,", Возможна ипотека",Новостройка,60.0,40.0,20.0,11,20,1.0,1.0,Нет,подземная,2.0,Монолитный,,1.0,На улицу и двор,12 мин. пешком,ЮАО,район Орехово-Борисово Южное
36844,17649981,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,73.97,26.8,23.6,17,20,1.0,1.0,Нет,подземная,2.0,Монолитный,,1.0,,13 мин. пешком,ЮАО,район Даниловский
32930,30158520,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,94.2,,,13,19,1.0,0.0,Нет,подземная,3.0,Монолитный,3.25,,,9 мин. пешком,СВАО,район Алексеевский
33646,14961850,"Свободная продажа, Возможна ипотека",Новостройка,89.1,37.1,28.4,2,20,1.0,0.0,Нет,подземная,2.0,Монолитный,,1.0,,11 мин. пешком,СВАО,район Свиблово
6511,8386800,"Свободная продажа, Возможна ипотека",Новостройка,48.2,18.8,13.7,4,8,1.0,1.0,Нет,подземная,1.0,Монолитный,,0.0,,10 мин. на транспорте,Химки,микрорайон Новогорск
13729,9804000,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,76.0,52.6,8.8,15,25,1.0,2.0,Нет,Неизвестно,3.0,Панельный,2.68,2.0,На улицу и двор,6 мин. на транспорте,ЮВАО,район Люблино
7246,16798695,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,62.4,15.4,21.7,4,25,1.0,0.0,Нет,,1.0,Монолитный,,0.0,,8 мин. пешком,САО,район Аэропорт
34239,6420157,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,51.93,26.3,12.5,2,13,1.0,0.0,Нет,Неизвестно,2.0,Монолитный,,1.0,,6 мин. на транспорте,НАО (Новомосковский),Рязановское поселение
1520,7065710,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,46.7,13.2,20.4,3,33,1.0,2.0,Нет,Неизвестно,1.0,Монолитный,2.7,0.0,Во двор,11 мин. пешком,ЮЗАО,район Южное Бутово
31054,6181200,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,30.6,10.0,13.3,9,30,2.0,1.0,Нет,Неизвестно,1.0,Монолитный,2.7,0.0,Во двор,,ЮВАО,район Рязанский
12354,9255695,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,75.4,43.0,14.8,4,15,1.0,1.0,Нет,Наземная,3.0,Монолитный,2.74,0.0,Во двор,6 мин. на транспорте,НАО (Новомосковский),пос. Коммунарка
36904,10453782,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,38.54,13.8,18.5,6,16,2.0,2.0,Нет,подземная,1.0,Монолитный,,0.0,,13 мин. пешком,ЮАО,район Даниловский
33223,7000000,", Возможна ипотека",Новостройка,56.6,,20.8,9,25,,,Нет,,2.0,Монолитный,,,,5 мин. на транспорте,НАО (Новомосковский),Московский поселение
24377,12226035,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,72.13,42.5,12.7,4,9,1.0,1.0,Нет,Неизвестно,3.0,Монолитный,2.72,0.0,На улицу и двор,2 мин. на транспорте,ЮВАО,район Люблино
25031,12823017,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,72.29,,,5,23,1.0,1.0,Нет,подземная,3.0,Монолитный,,,,9 мин. пешком,ЮАО,район Москворечье-Сабурово
31963,11697180,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,66.0,27.9,11.5,2,17,1.0,1.0,Нет,Неизвестно,2.0,Монолитный,,1.0,,5 мин. на транспорте,ВАО,район Богородское
2599,8414863,"Свободная продажа, Возможна ипотека",Новостройка,80.0,54.2,10.0,4,17,1.0,0.0,Нет,Наземная,3.0,Монолитный,,1.0,,6 мин. на транспорте,Одинцовский городской округ,с. Немчиновка
25941,5060000,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,40.0,,,7,15,1.0,0.0,Нет,,1.0,Монолитный,,,,6 мин. на транспорте,ЗАО,район Можайский
30506,8507068,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,69.6,30.1,21.7,16,22,1.0,0.0,Нет,Неизвестно,2.0,Монолитный,,1.0,,12 мин. пешком,ЮВАО,район Некрасовка
7904,3141255,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,34.71,17.0,8.6,5,6,1.0,1.0,Нет,Неизвестно,1.0,Монолитный,3.0,0.0,Во двор,12 мин. на транспорте,Балашиха,микрорайон Железнодорожный (Саввино)
31780,11361826,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,60.7,28.5,11.5,9,17,1.0,1.0,Нет,Неизвестно,2.0,Монолитный,,1.0,,5 мин. на транспорте,ВАО,район Богородское
32091,6838000,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,52.6,19.9,19.6,17,17,1.0,1.0,Нет,Неизвестно,2.0,Панельный,2.65,2.0,На улицу,3 мин. на транспорте,НАО (Новомосковский),пос. Коммунарка
32565,6091200,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,56.4,22.4,18.8,16,25,1.0,2.0,Нет,Неизвестно,2.0,Панельный,2.84,2.0,На улицу,5 мин. на транспорте,Люберцы,Люберецкий ЖК
2252,9423500,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,80.2,41.5,17.5,14,18,1.0,1.0,Нет,Неизвестно,3.0,Панельный,2.65,2.0,На улицу и двор,3 мин. на транспорте,НАО (Новомосковский),пос. Коммунарка
37022,8159018,"Свободная продажа, Возможна ипотека",Новостройка,51.8,,,2,7,1.0,1.0,Нет,подземная,1.0,Монолитный,,,,11 мин. пешком,СВАО,район Свиблово
5223,6240208,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,31.58,24.3,,4,22,1.0,0.0,Нет,подземная,,Монолитный,,0.0,Во двор,2 мин. на транспорте,ЮВАО,район Марьино
11445,11674396,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,57.88,25.5,21.8,9,30,3.0,1.0,Нет,подземная,2.0,Монолитный,,0.0,Во двор,3 мин. пешком,САО,район Ховрино
28075,16750890,"Свободная продажа, Возможна ипотека",Новостройка,69.5,26.5,20.2,10,19,1.0,1.0,Нет,подземная,2.0,Монолитный,,1.0,Во двор,7 мин. пешком,САО,район Беговой
10981,9436659,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,78.9,41.4,11.3,14,16,1.0,1.0,Нет,подземная,3.0,Монолитный,2.89,1.0,Во двор,3 мин. на транспорте,НАО (Новомосковский),пос. Коммунарка
5611,6158774,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,27.47,13.2,6.9,4,11,1.0,1.0,Нет,Неизвестно,,Монолитный,2.72,0.0,На улицу,2 мин. на транспорте,СВАО,район Марьина роща
26461,7574000,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,54.1,20.6,21.4,11,25,1.0,2.0,Нет,Неизвестно,2.0,Панельный,2.68,2.0,Во двор,6 мин. на транспорте,ЮВАО,район Люблино
23841,9405836,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,41.8,12.8,18.3,14,29,1.0,0.0,Нет,подземная,1.0,Монолитный,,1.0,,7 мин. пешком,САО,район Головинский
1604,8916000,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,60.0,27.6,12.6,2,13,1.0,1.0,Нет,Неизвестно,2.0,Монолитный,2.72,2.0,Во двор,2 мин. на транспорте,ЮВАО,район Рязанский
6656,9115351,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,38.6,14.2,17.9,2,16,2.0,2.0,Нет,подземная,1.0,Монолитный,,0.0,,13 мин. пешком,ЮАО,район Даниловский
6562,14152390,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,111.7,44.1,20.2,15,33,1.0,2.0,Нет,Неизвестно,3.0,Монолитный,2.7,0.0,На улицу,11 мин. пешком,ЮЗАО,район Южное Бутово
13524,10883280,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,54.8,,,2,28,1.0,2.0,Нет,подземная,2.0,Монолитный,,,,10 мин. пешком,САО,район Войковский
22372,6980263,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,53.89,27.2,13.1,2,25,1.0,1.0,Нет,Неизвестно,2.0,Монолитный,2.7,1.0,На улицу,3 мин. на транспорте,СЗАО,район Митино
4038,8052436,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,66.2,31.4,20.3,9,18,1.0,1.0,Нет,Неизвестно,2.0,Панельный,2.65,2.0,На улицу,3 мин. на транспорте,НАО (Новомосковский),пос. Коммунарка
28502,1700000,,Новостройка,25.0,13.4,3.4,15,17,,,Нет,,,Панельный,,,На улицу,17 мин. на транспорте,Раменский городской округ,д. Островцы
18883,13490000,", Возможна ипотека",Новостройка,53.3,,20.7,4,20,1.0,1.0,Нет,подземная,1.0,Монолитный,,,Во двор,3 мин. на транспорте,СЗАО,район Хорошево-Мневники
25696,9241430,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,62.9,29.6,17.5,8,21,1.0,1.0,Нет,Неизвестно,2.0,Монолитный,3.1,0.0,На улицу,2 мин. на транспорте,СВАО,район Лосиноостровский
29855,4500000,Долевое участие (214-ФЗ),Новостройка,73.52,,,10,19,0.0,3.0,Нет,подземная,4.0,Монолитный,,0.0,,,Раменское,район Западный
6766,8237657,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,65.5,30.0,19.3,3,9,1.0,1.0,Нет,подземная,2.0,Монолитный,2.85,1.0,Во двор,6 мин. на транспорте,НАО (Новомосковский),Сосенское поселение
6943,5600000,"Свободная продажа, Возможна ипотека",Вторичка,74.4,42.0,9.4,4,17,1.0,1.0,Да,Наземная,3.0,Монолитно-кирпичный,,2.0,На улицу и двор,30 мин. на транспорте,Солнечногорск городской округ,Андреевка рп
26891,9414600,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,55.96,,,5,20,2.0,1.0,Нет,подземная,,Монолитный,3.0,1.0,Во двор,2 мин. на транспорте,САО,район Хорошевский
15080,8778700,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,75.4,46.6,10.2,11,22,1.0,0.0,Нет,подземная,3.0,Монолитный,,0.0,,6 мин. на транспорте,НАО (Новомосковский),Родниковая улица
27378,11800080,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,54.63,,,4,28,2.0,1.0,Нет,Неизвестно,2.0,Монолитный,3.0,0.0,На улицу,13 мин. пешком,ЗАО,район Филевский парк
10661,14137030,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,68.5,,19.0,25,30,2.0,2.0,Нет,подземная,2.0,Монолитный,3.5,1.0,На улицу,4 мин. пешком,ЮАО,район Зябликово
10288,6937890,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,84.3,53.6,10.9,14,17,1.0,2.0,Нет,подземная,3.0,Монолитный,,1.0,,9 мин. на транспорте,Мытищи,проспект Астрахова
10406,10332630,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,53.9,20.8,20.0,16,16,1.0,1.0,Нет,Неизвестно,2.0,Монолитный,2.7,2.0,На улицу,2 мин. на транспорте,ЮАО,район Орехово-Борисово Южное
31002,13323547,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,56.5,26.1,13.9,38,58,1.0,0.0,Нет,подземная,2.0,Монолитный,,,Во двор,3 мин. пешком,САО,район Тимирязевский
25807,10960076,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,58.6,27.1,12.1,20,22,1.0,2.0,Нет,Неизвестно,2.0,Монолитный,2.0,1.0,На улицу,2 мин. на транспорте,САО,район Дмитровский
8562,14395630,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,79.03,37.5,23.8,6,19,1.0,0.0,Нет,подземная,2.0,Монолитный,,,,2 мин. на транспорте,ЮВАО,район Рязанский
5431,9138428,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,56.69,27.2,14.4,6,18,1.0,0.0,Нет,подземная,2.0,Монолитный,,1.0,,2 мин. на транспорте,ЮВАО,район Марьино
31611,9145500,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,46.9,14.2,17.7,7,22,1.0,0.0,Нет,Неизвестно,1.0,Монолитный,,0.0,,5 мин. на транспорте,СЗАО,район Хорошево-Мневники
34875,6705057,", Возможна ипотека",Новостройка,43.39,,,2,11,,,Нет,,2.0,Монолитный,,1.0,Во двор,3 мин. на транспорте,СВАО,район Лосиноостровский
7058,15029000,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,79.1,27.2,29.2,6,22,1.0,0.0,Нет,Неизвестно,2.0,Монолитный,,1.0,,5 мин. на транспорте,СЗАО,район Хорошево-Мневники
1314,8374632,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,44.17,12.3,20.6,13,17,1.0,1.0,Нет,Неизвестно,1.0,Монолитный,2.72,0.0,Во двор,2 мин. на транспорте,ЮВАО,район Люблино
22091,10349585,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,43.89,33.2,,18,24,1.0,0.0,Нет,,,Монолитный,,0.0,,2 мин. на транспорте,ЮЗАО,район Черемушки
7497,21987697,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,139.5,,,18,58,1.0,0.0,Нет,подземная,3.0,Монолитный,,,,3 мин. на транспорте,СВАО,район Ростокино
1018,8137000,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,66.3,31.0,18.5,16,17,1.0,1.0,Нет,Наземная,2.0,Монолитный,,1.0,Во двор,2 мин. на транспорте,Люберцы,микрорайон Северные Люберцы
25530,5735795,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,38.83,10.3,15.3,19,24,1.0,1.0,Нет,Неизвестно,1.0,Монолитный,3.1,0.0,Во двор,2 мин. на транспорте,СВАО,район Лосиноостровский
17911,5305073,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,44.05,12.8,19.8,13,18,1.0,1.0,Нет,Неизвестно,1.0,Монолитный,,0.0,,13 мин. на транспорте,Ленинский городской округ,д. Мисайлово
976,11616339,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,44.49,13.8,18.1,5,29,2.0,2.0,Нет,Неизвестно,1.0,Монолитный,3.0,0.0,На улицу,14 мин. пешком,ЗАО,район Филевский парк
29061,6076620,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,34.1,15.0,9.5,6,12,1.0,0.0,Нет,подземная,1.0,Монолитный,,,,12 мин. на транспорте,СВАО,район Ярославский
20357,15745450,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,77.5,,,18,20,1.0,1.0,Нет,подземная,3.0,Монолитный,3.2,1.0,,5 мин. на транспорте,ЮВАО,район Лефортово
23962,10551650,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,55.1,28.8,12.7,13,29,1.0,0.0,Нет,подземная,2.0,Монолитный,,1.0,,7 мин. пешком,САО,район Головинский
25034,13509988,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,72.29,,,6,23,1.0,1.0,Нет,подземная,3.0,Монолитный,,,,9 мин. пешком,ЮАО,район Москворечье-Сабурово
20045,8439979,"Свободная продажа, Возможна ипотека",Новостройка,66.1,31.6,17.0,16,18,1.0,1.0,Нет,,2.0,Монолитный,,1.0,,21 мин. на транспорте,Одинцово,Северная улица
22225,13273000,"Свободная продажа, Возможна ипотека",Новостройка,102.1,,,10,28,3.0,1.0,Нет,подземная,,Монолитный,,1.0,,2 мин. на транспорте,САО,район Ховрино
23937,10342750,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,55.0,29.4,12.0,13,29,1.0,0.0,Нет,подземная,2.0,Монолитный,,1.0,,7 мин. пешком,САО,район Головинский
5026,11848371,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,66.1,42.8,7.8,13,24,1.0,2.0,Нет,Неизвестно,3.0,Монолитный,2.8,2.0,На улицу и двор,2 мин. пешком,САО,район Западное Дегунино
7954,3806300,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,44.78,22.4,8.4,16,17,1.0,1.0,Нет,Неизвестно,2.0,Монолитный,3.0,1.0,На улицу,12 мин. на транспорте,Балашиха,микрорайон Железнодорожный (Саввино)
18071,7667165,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,63.8,41.4,5.9,1,9,1.0,1.0,Нет,подземная,3.0,Монолитный,2.8,,,3 мин. на транспорте,Ленинский городской округ,Поляна СНТ
7252,20923899,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,64.1,18.0,27.5,13,25,1.0,0.0,Нет,,1.0,Монолитный,,0.0,,8 мин. пешком,САО,район Аэропорт
